example_id, text, aspect_term, term_location, class
461_1,Friendly staff that actually lets you enjoy your meal and the company you're with.,meal,49--53,1
539_0,The restaurant is rather small but we were lucky to get a table quickly.,table,58--63,1
1435_0,Quality of food is excellent and price is cheap[comma] stick to pork[comma] fish[comma] chicken[comma] lamb and vegetables.,Quality of food,0--15,1
1435_1,Quality of food is excellent and price is cheap[comma] stick to pork[comma] fish[comma] chicken[comma] lamb and vegetables.,price,33--38,1
1435_2,Quality of food is excellent and price is cheap[comma] stick to pork[comma] fish[comma] chicken[comma] lamb and vegetables.,pork,58--62,1
1435_3,Quality of food is excellent and price is cheap[comma] stick to pork[comma] fish[comma] chicken[comma] lamb and vegetables.,fish,64--68,1
1435_4,Quality of food is excellent and price is cheap[comma] stick to pork[comma] fish[comma] chicken[comma] lamb and vegetables.,chicken,70--77,1
1435_5,Quality of food is excellent and price is cheap[comma] stick to pork[comma] fish[comma] chicken[comma] lamb and vegetables.,lamb,79--83,1
1435_6,Quality of food is excellent and price is cheap[comma] stick to pork[comma] fish[comma] chicken[comma] lamb and vegetables.,vegetables,88--98,1
2225_0,The place is a little tight and on a cold day[comma] the seating by the entranceway can be pretty drafty.,seating,51--58,-1
2225_1,The place is a little tight and on a cold day[comma] the seating by the entranceway can be pretty drafty.,place,4--9,-1
1056_0,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,appetizing,4--14,1
1056_1,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,price,87--92,1
3582_0,But[comma] they were too big for the bun.,bun,31--34,0
2708_0,The food is fresh[comma] delicious[comma] and reasonably priced.,food,4--8,1
2708_1,The food is fresh[comma] delicious[comma] and reasonably priced.,priced,45--51,1
275_0,Raga stands out with an interesting fusion of French and Indian cooking.,fusion of French and Indian cooking,36--71,1
2105_0,A few tips: skip the turnip cake[comma] roast pork buns and egg custards.,turnip cake,21--32,-1
2105_1,A few tips: skip the turnip cake[comma] roast pork buns and egg custards.,roast pork buns,34--49,-1
2105_2,A few tips: skip the turnip cake[comma] roast pork buns and egg custards.,egg custards,54--66,-1
2152_0,The bagels are fabulous.,bagels,4--10,1
191_0,Oh yes[comma] and they lie on the phone[comma] claiming they have seating in the garden[comma] then of course the seats are not available.,seating in the garden,54--75,0
191_1,Oh yes[comma] and they lie on the phone[comma] claiming they have seating in the garden[comma] then of course the seats are not available.,seats,96--101,0
3319_0,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,service,77--84,1
3319_1,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,place,123--128,1
3319_2,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,water,42--47,0
3681_0,The food was very good[comma] a great deal[comma] and the place its self was great.,food,4--8,1
3681_1,The food was very good[comma] a great deal[comma] and the place its self was great.,place,46--51,1
2171_0,The food options rule.,food options,4--16,1
3462_0,A great choice at any cost and a great deal.,cost,22--26,1
1865_0,We ate here in March[comma] 2006 and ordered the pre-theatre 3-course dinner with wine flight.,pre-theatre 3-course dinner,43--70,0
1865_1,We ate here in March[comma] 2006 and ordered the pre-theatre 3-course dinner with wine flight.,wine flight,76--87,0
3421_0,Probably much busier for lunch[comma] it's seldom crowded for dinner (too close to downtown).,lunch,25--30,0
3421_1,Probably much busier for lunch[comma] it's seldom crowded for dinner (too close to downtown).,dinner,56--62,0
1293_0,Their calzones are horrific[comma] bad[comma] vomit-inducing[comma] YUCK.,calzones,6--14,-1
3475_0,It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.,drink,26--31,0
818_0,The place itself is beautiful the bar scene seems to be happening.,place,4--9,1
818_1,The place itself is beautiful the bar scene seems to be happening.,bar scene,34--43,1
2893_0,Saturday[comma] Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us.,staff,80--85,1
3170_0,Good spreads[comma] great beverage selections and bagels really tasty.,spreads,5--12,1
3170_1,Good spreads[comma] great beverage selections and bagels really tasty.,beverage selections,20--39,1
3170_2,Good spreads[comma] great beverage selections and bagels really tasty.,bagels,44--50,1
2932_0,First[comma] the waiter who served us neglected to fill us in on the specials[comma] which I would have chosen had I known about them.,waiter,11--17,-1
2932_1,First[comma] the waiter who served us neglected to fill us in on the specials[comma] which I would have chosen had I known about them.,specials,63--71,1
2932_2,First[comma] the waiter who served us neglected to fill us in on the specials[comma] which I would have chosen had I known about them.,served,22--28,-1
451_0,Also[comma] top the meal with a delicious and perfect slice of tiramisu.,tiramisu,57--65,1
451_1,Also[comma] top the meal with a delicious and perfect slice of tiramisu.,meal,14--18,0
119_0,Check out the secret back room.,secret back room,14--30,1
2817_0,It's also attached to Angel's Share[comma] which is a cool[comma] more romantic bar...,bar,68--71,1
2517_0,Authentic food and they have REAL service[comma] not just the rush you get sometimes when they try to push you out the door.,food,10--14,1
2517_1,Authentic food and they have REAL service[comma] not just the rush you get sometimes when they try to push you out the door.,service,34--41,1
2883_0,Stick to the gulab jamun.,gulab jamun,13--24,1
556_0,I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices[comma] great atmosphere[comma] good service and a wonderful wine list.,prices,113--119,1
556_1,I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices[comma] great atmosphere[comma] good service and a wonderful wine list.,atmosphere,127--137,1
556_2,I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices[comma] great atmosphere[comma] good service and a wonderful wine list.,service,144--151,1
556_3,I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices[comma] great atmosphere[comma] good service and a wonderful wine list.,wine list,168--177,1
563_0,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,diner,28--33,0
563_1,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,wait staff,61--71,-1
563_2,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,table,41--46,-1
924_0,With the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,50--54,1
924_1,With the theater 2 blocks away we had a delicious meal in a beautiful room.,room,70--74,1
3041_0,We've only eaten in the restaurant once[comma] but we have ordered many times for dinner.,dinner,76--82,0
1013_0,By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,pig feet ginger simmered in black vinegar,172--213,1
1013_1,By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,desserts with frog jelly,118--142,1
193_0,The food is great and reasonably priced.,food,4--8,1
193_1,The food is great and reasonably priced.,priced,33--39,1
2217_0,I would definitely recommend SEA if you like thai cuisine!,thai cuisine,45--57,1
78_0,Over the years the host[comma] Vittorio[comma] and his crew[comma] have always treated me as family--although with all the business this not-so-little gem does[comma] it amazing he's even able to remember a consistent but not-so-frequent visitor.,crew,43--47,1
78_1,Over the years the host[comma] Vittorio[comma] and his crew[comma] have always treated me as family--although with all the business this not-so-little gem does[comma] it amazing he's even able to remember a consistent but not-so-frequent visitor.,host,19--23,1
2280_0,The restuarant itself is not large[comma] but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.,round tables,62--74,1
2280_1,The restuarant itself is not large[comma] but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.,Taiwanese,141--150,1
3424_0,My husband said he could've eaten several more[comma] the portion was fine for me he even exclaimed that the french fries were the best he has had.,french fries,103--115,1
1707_0,It is the type of place to run into old friends and have a late[comma] raucus dinner.,dinner,72--78,1
2766_0,The food is delicious - from the specials to the regular menu-fare[comma] the dishes are never a disappointment.,food,4--8,1
2766_1,The food is delicious - from the specials to the regular menu-fare[comma] the dishes are never a disappointment.,dishes,72--78,1
2766_2,The food is delicious - from the specials to the regular menu-fare[comma] the dishes are never a disappointment.,specials,33--41,1
2766_3,The food is delicious - from the specials to the regular menu-fare[comma] the dishes are never a disappointment.,regular menu-fare,49--66,1
667_0,Prices are in line.,Prices,0--6,0
1600_0,The combination of fresh tomato sauce[comma] fresh mozz cheese[comma] basil and the dough they make with imported flour[comma] makes this is one of the better pizza's in NY.,fresh tomato sauce,19--37,1
1600_1,The combination of fresh tomato sauce[comma] fresh mozz cheese[comma] basil and the dough they make with imported flour[comma] makes this is one of the better pizza's in NY.,fresh mozz cheese,39--56,1
1600_2,The combination of fresh tomato sauce[comma] fresh mozz cheese[comma] basil and the dough they make with imported flour[comma] makes this is one of the better pizza's in NY.,basil,58--63,1
1600_3,The combination of fresh tomato sauce[comma] fresh mozz cheese[comma] basil and the dough they make with imported flour[comma] makes this is one of the better pizza's in NY.,dough,72--77,1
1600_4,The combination of fresh tomato sauce[comma] fresh mozz cheese[comma] basil and the dough they make with imported flour[comma] makes this is one of the better pizza's in NY.,pizza,141--146,1
1600_5,The combination of fresh tomato sauce[comma] fresh mozz cheese[comma] basil and the dough they make with imported flour[comma] makes this is one of the better pizza's in NY.,flour,102--107,1
134_0,The food is prepared quickly and efficiently.,food,4--8,1
2421_0,For all of you new to Indian food[comma] try the Paneer Roll[comma] it is a piece of heaven.,Indian food,22--33,1
2421_1,For all of you new to Indian food[comma] try the Paneer Roll[comma] it is a piece of heaven.,Paneer Roll,43--54,1
159_0,The food looked very appetizing and delicious since it came on a variety of fancy plates.,food,4--8,1
159_1,The food looked very appetizing and delicious since it came on a variety of fancy plates.,plates,82--88,1
1490_0,Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,fresh mozzerella slices,9--32,1
1490_1,Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,Plain Cheese slice,41--59,1
1548_0,The food is terrible and overall[comma] I would have to say avoid at all costs.,food,4--8,-1
1709_0,Unfortunately[comma] the food was NOT something to get worked up about.,food,19--23,-1
1550_0,It's constantly open[comma] catering to the Pakistani cabbies lined up on Crosby St.[comma] so there's more turnover with the food than you'd expect (i.e.[comma] surprisingly fresh).,food,114--118,1
3305_0,I had Filet Mignon with garlic mash.,Filet Mignon with garlic mash,6--35,0
874_0,I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre[comma] steak frites[comma] creme brulee) and it was marvelous.,pre-theater menu,39--55,1
874_1,I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre[comma] steak frites[comma] creme brulee) and it was marvelous.,roasted tomato soup with chevre,68--99,1
874_2,I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre[comma] steak frites[comma] creme brulee) and it was marvelous.,steak frites,101--113,1
874_3,I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre[comma] steak frites[comma] creme brulee) and it was marvelous.,creme brulee,115--127,1
3116_0,The waitstaff were attentive[comma] polite and helpful - an impressive feat in such close quarters.,waitstaff,4--13,1
3353_0,- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes[comma] however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top[comma] like a salad.,bread,6--11,1
3353_1,- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes[comma] however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top[comma] like a salad.,pizza,74--79,1
3353_2,- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes[comma] however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top[comma] like a salad.,margarite pizza with cold prosciutto and baby arugula on top,220--280,0
3353_3,- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes[comma] however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top[comma] like a salad.,salad,289--294,0
3353_4,- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes[comma] however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top[comma] like a salad.,Peter's Favourite pizza with prosciutto and baby arugula,149--205,0
533_0,The large selection of bruschettas[comma] paninis[comma] tramezzinis keep the palate from stagnating.,bruschettas,23--34,1
533_1,The large selection of bruschettas[comma] paninis[comma] tramezzinis keep the palate from stagnating.,paninis,36--43,1
533_2,The large selection of bruschettas[comma] paninis[comma] tramezzinis keep the palate from stagnating.,tramezzinis,45--56,1
972_0,Have always found that the waiters will go out of their way to be helpful[comma] despite the fact they are often busy with lots of diners.,waiters,27--34,1
972_1,Have always found that the waiters will go out of their way to be helpful[comma] despite the fact they are often busy with lots of diners.,diners,125--131,0
3420_0,While this isn't classical restaurant fare[comma] the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.,chef,48--52,1
3420_1,While this isn't classical restaurant fare[comma] the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.,dishes,128--134,1
3420_2,While this isn't classical restaurant fare[comma] the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.,cuisine,82--89,0
3420_3,While this isn't classical restaurant fare[comma] the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.,Indian,154--160,1
2329_0,The owner truly caters to all your needs.,owner,4--9,1
1827_0,He takes real pride in his food and his business.,food,27--31,1
878_0,So if you want a nice[comma] enjoyable meal at Montparnasse[comma] go early for the pre-theater prix-fixe.,meal,33--37,1
878_1,So if you want a nice[comma] enjoyable meal at Montparnasse[comma] go early for the pre-theater prix-fixe.,pre-theater prix-fixe,72--93,1
2891_0,Over the years[comma] it has always provided a pleasurable dining experience with quality food and wine.,food,84--88,1
2891_1,Over the years[comma] it has always provided a pleasurable dining experience with quality food and wine.,wine,93--97,1
2891_2,Over the years[comma] it has always provided a pleasurable dining experience with quality food and wine.,dining,53--59,1
2276_0,The photobook menu was a cute touch[comma] certainly helped my group and I pick the fried chicken[comma] pork chop[comma] and noodle dishes that we all ordered.,menu,14--18,1
2276_1,The photobook menu was a cute touch[comma] certainly helped my group and I pick the fried chicken[comma] pork chop[comma] and noodle dishes that we all ordered.,fried chicken,78--91,0
2276_2,The photobook menu was a cute touch[comma] certainly helped my group and I pick the fried chicken[comma] pork chop[comma] and noodle dishes that we all ordered.,pork chop,93--102,0
2276_3,The photobook menu was a cute touch[comma] certainly helped my group and I pick the fried chicken[comma] pork chop[comma] and noodle dishes that we all ordered.,noodle dishes,108--121,0
3414_0,I cannot imagine better Indian food in all of the city.,Indian food,24--35,1
209_0,Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,privacy,80--87,1
209_1,Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,corner booth table,48--66,1
209_2,Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,place,15--20,1
1228_0,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,manager,50--57,-1
1228_1,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,open faced cheese sandwich,15--41,0
2077_0,very good breads as well.,breads,10--16,1
3554_0,if this happens[comma] just ask for real naan.,naan,35--39,0
410_0,We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,squid,73--78,-1
410_1,We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,half-price Saturday night option,20--52,1
3492_0,Pizza is terrific[comma] as is homemade pasta.,Pizza,0--5,1
3492_1,Pizza is terrific[comma] as is homemade pasta.,homemade pasta,25--39,1
2439_0,This is a wonderful place on all stand points especially value ofr money.,value ofr money,57--72,1
3280_0,Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,soup,15--19,1
3280_1,Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,mushrooms,65--74,1
3573_0,There are other people waiting!,waiting,23--30,-1
277_0,From beginning appetizers[comma] the scallops were incredible[comma] to the delicious chocolate souffle with rasberry mint sorbet[comma] we were delighted by the taste sensations.,beginning appetizers,5--25,1
277_1,From beginning appetizers[comma] the scallops were incredible[comma] to the delicious chocolate souffle with rasberry mint sorbet[comma] we were delighted by the taste sensations.,scallops,31--39,1
277_2,From beginning appetizers[comma] the scallops were incredible[comma] to the delicious chocolate souffle with rasberry mint sorbet[comma] we were delighted by the taste sensations.,chocolate souffle with rasberry mint sorbet,74--117,1
277_3,From beginning appetizers[comma] the scallops were incredible[comma] to the delicious chocolate souffle with rasberry mint sorbet[comma] we were delighted by the taste sensations.,taste,144--149,1
2811_0,Consistently good Japanese Tapas.,Japanese Tapas,18--32,1
3020_0,My goodness[comma] everything from the fish to the rice to the seaweed was absolutely amazing.,fish,33--37,1
3020_1,My goodness[comma] everything from the fish to the rice to the seaweed was absolutely amazing.,rice,45--49,1
3020_2,My goodness[comma] everything from the fish to the rice to the seaweed was absolutely amazing.,seaweed,57--64,1
2912_0,The dishes offered were unique[comma] very tasty and fresh from the lamb sausages[comma] sardines with biscuits[comma] large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).,dishes,4--10,1
2912_1,The dishes offered were unique[comma] very tasty and fresh from the lamb sausages[comma] sardines with biscuits[comma] large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).,lamb sausages,62--75,1
2912_2,The dishes offered were unique[comma] very tasty and fresh from the lamb sausages[comma] sardines with biscuits[comma] large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).,sardines with biscuits,77--99,1
2912_3,The dishes offered were unique[comma] very tasty and fresh from the lamb sausages[comma] sardines with biscuits[comma] large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).,large whole shrimp,101--119,1
2912_4,The dishes offered were unique[comma] very tasty and fresh from the lamb sausages[comma] sardines with biscuits[comma] large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).,pistachio ice cream,135--154,1
1702_0,The food is reliable and the price is moderate.,food,4--8,1
1702_1,The food is reliable and the price is moderate.,price,29--34,0
882_0,While the ambiance and atmosphere were great[comma] the food and service could have been a lot better.,ambiance,10--18,1
882_1,While the ambiance and atmosphere were great[comma] the food and service could have been a lot better.,atmosphere,23--33,1
882_2,While the ambiance and atmosphere were great[comma] the food and service could have been a lot better.,food,50--54,-1
882_3,While the ambiance and atmosphere were great[comma] the food and service could have been a lot better.,service,59--66,-1
628_0,The server was really cool and served us our food and drinks with a smile.,server,4--10,1
628_1,The server was really cool and served us our food and drinks with a smile.,food,45--49,0
628_2,The server was really cool and served us our food and drinks with a smile.,drinks,54--60,0
628_3,The server was really cool and served us our food and drinks with a smile.,served,31--37,1
3563_0,We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,food,21--25,0
727_0,Planet Thailand has always been a hit with me [comma] I go there usually for the sushi[comma] which is great [comma] the thai food is excellent too .,sushi,75--80,1
727_1,Planet Thailand has always been a hit with me [comma] I go there usually for the sushi[comma] which is great [comma] the thai food is excellent too .,thai food,103--112,1
1925_0,Very excited to hear that short-term Chef Jason Narone has moved on[comma] he truly was a low point of their Sterling track record.,Chef,37--41,-1
3144_0,I had to share my table with a loud group of kids and the service was rude an unattentive.,service,58--65,-1
3144_1,I had to share my table with a loud group of kids and the service was rude an unattentive.,table,18--23,-1
1487_0,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,garlic,41--47,1
1487_1,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,fresh tomatoes,52--66,1
1487_2,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,sauce on the pizza,4--22,1
2120_0,We recently decided to try this location[comma] and to our delight[comma] they have outdoor seating[comma] perfect since I had my yorkie with me.,outdoor seating,72--87,1
1868_0,My husband had the mesclun[comma] salmon[comma] and ice cream and he enjoyed all 3 courses.,mesclun,19--26,1
1868_1,My husband had the mesclun[comma] salmon[comma] and ice cream and he enjoyed all 3 courses.,salmon,28--34,1
1868_2,My husband had the mesclun[comma] salmon[comma] and ice cream and he enjoyed all 3 courses.,ice cream,40--49,1
1868_3,My husband had the mesclun[comma] salmon[comma] and ice cream and he enjoyed all 3 courses.,courses,71--78,1
770_0,We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,wait,22--26,0
2205_0,The food is usually good but it certainly isn't a relaxing place to go.,food,4--8,1
2205_1,The food is usually good but it certainly isn't a relaxing place to go.,place,59--64,-1
1940_0,Super friendly and knowledgable staff[comma] fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!,staff,32--37,1
1940_1,Super friendly and knowledgable staff[comma] fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!,bistro fare,48--59,1
1940_2,Super friendly and knowledgable staff[comma] fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!,chilaquiles,114--125,1
1940_3,Super friendly and knowledgable staff[comma] fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!,jazz brunch,76--87,1
1940_4,Super friendly and knowledgable staff[comma] fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!,live jazz,99--108,1
2451_0,The prices were fantastic.,prices,4--10,1
1632_0,Still[comma] any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...,measures of liquers,69--88,1
1961_0,The table service could have been a little more attentive but as someone who also works in the service industry[comma] I understood they were busy.,service,95--102,0
710_0,It's not mind-blowing[comma] but to me[comma] thai food never is and never will be.,thai food,34--43,0
911_0,Food was very good as well[comma] considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer[comma] so that fat was more of a melt-in-your-mouth experience).,Food,0--4,1
911_1,Food was very good as well[comma] considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer[comma] so that fat was more of a melt-in-your-mouth experience).,pork belly,94--104,-1
911_2,Food was very good as well[comma] considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer[comma] so that fat was more of a melt-in-your-mouth experience).,fat,154--157,-1
2903_0,i've been to sapphire twice and both times the food was fine[comma] if not good.,food,47--51,1
1887_0,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,tables,26--32,-1
1887_1,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,dinner,101--107,1
1887_2,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,place,79--84,1
1273_0,I love the fact that the pizza tastes so good and is so cheap.,pizza,25--30,1
590_0,Nicky the Nose at the bar is a treat.,bar,22--25,0
179_0,Service was prompt[comma] friendly and great.,Service,0--7,1
109_0,I haven't eat a lamb chop as delicious as that[comma]the salads are really nice dressed with lemon and extra virgnin olive oil.,lamb chop,16--25,1
109_1,I haven't eat a lamb chop as delicious as that[comma]the salads are really nice dressed with lemon and extra virgnin olive oil.,salads,51--57,1
109_2,I haven't eat a lamb chop as delicious as that[comma]the salads are really nice dressed with lemon and extra virgnin olive oil.,lemon,87--92,1
109_3,I haven't eat a lamb chop as delicious as that[comma]the salads are really nice dressed with lemon and extra virgnin olive oil.,extra virgnin olive oil,97--120,1
339_0,The sushi was awful!,sushi,4--9,-1
2487_0,You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,meal,25--29,1
2487_1,You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,dishes,127--133,1
499_0,The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down[comma] it was a pleasurable experience.,Pastrami sandwich,4--21,1
499_1,The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down[comma] it was a pleasurable experience.,beer,71--75,1
499_2,The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down[comma] it was a pleasurable experience.,pickles,47--54,1
2589_0,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,plain pizza,4--15,-1
2589_1,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,truffle oil,114--125,0
2589_2,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,wild mushroom(third generation-Fornini) pizza,43--88,1
3701_0,Late nite omelletes are not good here[comma] there is no variety!,omelletes,10--19,-1
3050_0,After all that[comma] they complained to me about the small tip.,tip,54--57,-1
1185_0,It's a great place to pick up a cheap lunch or dinner.,lunch,38--43,1
1185_1,It's a great place to pick up a cheap lunch or dinner.,dinner,47--53,1
1555_0,Behind this counter[comma] two men are squeezed in.,counter,12--19,-1
1032_0,Whenever you need a Sushi fix[comma] Mizu will be there with quality fish and great service.,fish,63--67,1
1032_1,Whenever you need a Sushi fix[comma] Mizu will be there with quality fish and great service.,service,78--85,1
1032_2,Whenever you need a Sushi fix[comma] Mizu will be there with quality fish and great service.,Sushi fix,20--29,1
1124_0,Our waitress was sweet and accomodating[comma] not overbearing.,waitress,4--12,1
1663_0,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,reservation sigh,117--133,0
1663_1,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,table,49--54,-1
1690_0,I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,food,85--89,-1
1780_0,Despite a slightly limited menu[comma] everything prepared is done to perfection[comma] ultra fresh and a work of food art.,menu,27--31,-1
1780_1,Despite a slightly limited menu[comma] everything prepared is done to perfection[comma] ultra fresh and a work of food art.,food art,102--110,1
742_0,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,4--22,1
1471_0,A large is $20[comma] and toppings are about $3 each.,toppings,20--28,0
3352_0,brick oven gallery is My pick for best pizza restaurant anywhere.,pizza,39--44,1
3315_0,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,18--25,1
3315_1,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,36--40,1
3315_2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,57--62,1
3393_0,For many people[comma] this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.,Thai food,51--60,-1
2157_0,Growing up in NY[comma] I have eaten my share of bagels.,bagels,43--49,0
3018_0,Oh[comma] don't even let me start with how expensive the bills were!,bills,51--56,-1
257_0,The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,4--21,0
257_1,The scallion pancakes and fried dumplings were nothing out of the ordinary.,fried dumplings,26--41,0
813_0,All the appetizers and salads were fabulous[comma] the steak was mouth watering and the pasta was delicious!!!,appetizers,8--18,1
813_1,All the appetizers and salads were fabulous[comma] the steak was mouth watering and the pasta was delicious!!!,salads,23--29,1
813_2,All the appetizers and salads were fabulous[comma] the steak was mouth watering and the pasta was delicious!!!,steak,49--54,1
813_3,All the appetizers and salads were fabulous[comma] the steak was mouth watering and the pasta was delicious!!!,pasta,82--87,1
2862_0,Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated[comma] we were served dishes we hadn't ordered three times[comma] received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked)[comma] and charged $45 more than we should have been on our bill.,table,19--24,-1
2862_1,Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated[comma] we were served dishes we hadn't ordered three times[comma] received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked)[comma] and charged $45 more than we should have been on our bill.,served,126--132,-1
